subject,object,predicat
compound/compound_718,decrease_efficacy,compound_5762
compound/compound_718,decrease_efficacy,compound_7901
compound/compound_718,decrease_efficacy,compound_7904
compound/compound_718,decrease_efficacy,compound_7908
compound/compound_718,decrease_efficacy,compound_8338
compound/compound_718,decrease_efficacy,compound_8388
compound/compound_718,decrease_efficacy,compound_9136
compound/compound_718,decrease_efficacy,compound_9264
compound/compound_718,decrease_efficacy,compound_9266
compound/compound_718,decrease_efficacy,compound_9269
compound/compound_718,decrease_efficacy,compound_9345
compound/compound_718,decrease_efficacy,compound_9389
compound/compound_718,decrease_efficacy,compound_9432
compound/compound_718,decrease_efficacy,compound_9474
compound/compound_718,decrease_efficacy,compound_9739
compound/compound_718,decrease_efficacy,compound_9861
compound/compound_718,decrease_efficacy,compound_9903
compound/compound_718,decrease_efficacy,compound_13755
compound/compound_718,has_activity,activity_14
compound/compound_718,has_activity,activity_15
compound/compound_718,has_activity,activity_17
compound/compound_718,has_activity,activity_18
compound/compound_718,has_activity,activity_19
compound/compound_718,has_activity,activity_20
compound/compound_718,has_activity,activity_5
compound/compound_718,has_activity,activity_6
compound/compound_718,has_activity,activity_27
compound/compound_718,has_activity,activity_32
compound/compound_718,has_activity,activity_40
compound/compound_718,has_activity,activity_43
compound/compound_718,has_activity,activity_46
compound/compound_718,has_activity,activity_49
compound/compound_718,has_activity,activity_59
compound/compound_718,has_code,n05ax08
compound/compound_718,has_effect,effect_13
compound/compound_718,has_effect,effect_15
compound/compound_718,has_effect,effect_31
compound/compound_718,has_effect,effect_36
compound/compound_718,has_effect,effect_39
compound/compound_718,has_effect,effect_40
compound/compound_718,has_effect,effect_41
compound/compound_718,has_effect,effect_5
compound/compound_718,has_effect,effect_108
compound/compound_718,has_effect,effect_54
compound/compound_718,has_effect,effect_62
compound/compound_718,has_effect,effect_73
compound/compound_718,has_effect,effect_38
compound/compound_718,has_indication,indication_218
compound/compound_718,has_indication,indication_102
compound/compound_718,has_indication,indication_381
compound/compound_718,has_indication,indication_46
compound/compound_718,has_indication,indication_479
compound/compound_718,has_indication,indication_89
compound/compound_718,has_indication,indication_1143
compound/compound_718,has_indication,indication_1174
compound/compound_718,has_indication,indication_1186
compound/compound_718,has_indication,indication_1189
compound/compound_718,has_side_effect,sideeffect_946
compound/compound_718,has_side_effect,sideeffect_947
compound/compound_718,has_side_effect,sideeffect_951
compound/compound_718,has_side_effect,sideeffect_952
compound/compound_718,has_side_effect,sideeffect_953
compound/compound_718,has_side_effect,sideeffect_956
compound/compound_718,has_side_effect,sideeffect_959
compound/compound_718,has_side_effect,sideeffect_96
compound/compound_718,has_side_effect,sideeffect_962
compound/compound_718,has_side_effect,sideeffect_965
compound/compound_718,has_side_effect,sideeffect_967
compound/compound_718,has_side_effect,sideeffect_968
compound/compound_718,has_side_effect,sideeffect_97
compound/compound_718,has_side_effect,sideeffect_979
compound/compound_718,has_side_effect,sideeffect_98
compound/compound_718,has_side_effect,sideeffect_985
compound/compound_718,has_side_effect,sideeffect_989
compound/compound_718,has_side_effect,sideeffect_99
compound/compound_718,has_side_effect,sideeffect_1034
compound/compound_718,has_side_effect,sideeffect_1040
compound/compound_718,has_side_effect,sideeffect_1046
compound/compound_718,has_side_effect,sideeffect_1076
